#,Country (or dependency),A,B,C,D
110,Bulgaria,8097691.00,6687717.00,7592273.00,8980606.00
111,Turkmenistan,4569132.00,6516100.00,5267970.00,2862903.00
112,El Salvador,5958482.00,6364943.00,6114034.00,4508992.00
113,Congo,3134030.00,6106869.00,4437884.00,1829256.00
114,Singapore,4053602.00,6014723.00,5163590.00,2400729.00
115,Denmark,5340655.00,5910913.00,5550849.00,5125392.00
116,Slovakia,5376690.00,5795199.00,5396424.00,4973883.00
117,Central African Republic,3759170.00,5742315.00,4660067.00,2415276.00
118,Finland,5176209.00,5545475.00,5363271.00,4779418.00
119,Norway,4491202.00,5474360.00,4889741.00,4085776.00
120,Liberia,2895224.00,5418377.00,4019956.00,1932169.00
121,State of Palestine,3139954.00,5371230.00,3992278.00,1453620.00
122,Lebanon,4320642.00,5353930.00,4995800.00,2963702.00
123,New Zealand,3855266.00,5228100.00,4346338.00,3147168.00
124,Costa Rica,3979193.00,5212173.00,4622252.00,2414303.00
125,Ireland,3768950.00,5056935.00,4524585.00,3391387.00
126,Mauritania,2695003.00,4862989.00,3419461.00,1506694.00
127,Oman,2344253.00,4644384.00,2881914.00,1017462.00
128,Panama,3001731.00,4468087.00,3623617.00,1956987.00
129,Kuwait,1934901.00,4310108.00,2943356.00,1493870.00
130,Croatia,4548434.00,4008617.00,4368682.00,4680144.00
131,Eritrea,2392880.00,3748901.00,3147727.00,1657982.00
132,Georgia,4265172.00,3728282.00,3836831.00,5145843.00
133,Mongolia,2450979.00,3447157.00,2702520.00,1697780.00
134,Moldova,4251573.00,3435931.00,3678186.00,4103240.00
135,Uruguay,3292224.00,3423108.00,3352651.00,2953750.00
136,Puerto Rico,3827108.00,3260314.00,3717922.00,3214568.00
137,Bosnia and Herzegovina,4179350.00,3210847.00,3811088.00,4199820.00
138,Albania,3182021.00,2832439.00,2913399.00,2941651.00
139,Jamaica,2612205.00,2825544.00,2733896.00,2135546.00
140,Armenia,3168523.00,2777970.00,2946293.00,3135123.00
141,Gambia,1437539.00,2773168.00,1937275.00,718586.00
142,Lithuania,3599637.00,2718352.00,3139019.00,3521206.00
143,Qatar,645937.00,2716391.00,1713504.00,277450.00
144,Botswana,1726985.00,2675352.00,2091664.00,938578.00
145,Namibia,1819141.00,2604172.00,2099271.00,975994.00
146,Gabon,1272935.00,2436566.00,1711105.00,749078.00
147,Lesotho,1998630.00,2330318.00,2022747.00,1407672.00
148,Guinea-Bissau,1230849.00,2150842.00,1567220.00,831462.00
149,Slovenia,1984339.00,2119675.00,2057287.00,1901570.00
150,North Macedonia,2037936.00,2085679.00,2093828.00,1907023.00
151,Latvia,2392530.00,1830211.00,2101530.00,2572037.00
152,Equatorial Guinea,684977.00,1714671.00,1094524.00,282509.00
153,Trinidad and Tobago,1332203.00,1534937.00,1410296.00,1127852.00
154,Bahrain,711442.00,1485509.00,1213645.00,362595.00
155,Timor-Leste,878360.00,1360596.00,1088486.00,642224.00
156,Estonia,1396877.00,1322765.00,1331535.00,1476983.00
157,Mauritius,1215930.00,1300557.00,1283330.00,954865.00
158,Cyprus,948237.00,1260138.00,1129686.00,679327.00
159,Eswatini,1030496.00,1210822.00,1099920.00,598564.00
160,Djibouti,742033.00,1136455.00,919199.00,324121.00
161,Réunion,785424.00,981796.00,890130.00,551674.00
162,Fiji,832509.00,936375.00,905169.00,644582.00
163,Comoros,536758.00,852075.00,656024.00,328328.00
164,Guyana,759051.00,813834.00,747932.00,778176.00
165,Bhutan,587207.00,787424.00,705516.00,415257.00
166,Solomon Islands,429978.00,740424.00,540394.00,233668.00
167,Macao,431896.00,704149.00,557297.00,245332.00
168,Luxembourg,435628.00,654768.00,507070.00,363741.00
169,Montenegro,633324.00,626485.00,631044.00,589324.00
170,Suriname,478998.00,623236.00,546080.00,375112.00
171,Cabo Verde,458251.00,598682.00,521212.00,317234.00
172,Western Sahara,270375.00,587259.00,413296.00,116775.00
173,Micronesia,399212.00,544321.00,418755.00,333587.00
174,Malta,282507.00,535064.00,361575.00,164887.00
175,Maldives,333926.00,521021.00,396053.00,187921.00
176,Brunei,325014.00,452524.00,373272.00,223752.00
177,Bahamas,240406.00,412623.00,322106.00,145133.00
178,Belize,424067.00,410825.00,403072.00,334234.00
179,Guadeloupe,281462.00,395839.00,318333.00,228263.00
180,Iceland,432543.00,375318.00,392181.00,333786.00
181,Martinique,159215.00,366981.00,211786.00,52233.00
182,Mayotte,192074.00,335995.00,245453.00,118156.00
183,Vanuatu,164351.00,334506.00,228453.00,66825.00
184,French Guiana,250927.00,312155.00,283788.00,163591.00
185,French Polynesia,221537.00,308872.00,261426.00,148599.00
186,New Caledonia,264657.00,292991.00,274711.00,253575.00
187,Barbados,143714.00,281995.00,182138.00,97210.00
188,Sao Tome & Principe,184008.00,231856.00,194672.00,164905.00
189,Samoa,141424.00,225681.00,159380.00,156851.00
190,Curaçao,159500.00,192077.00,170935.00,121633.00
191,Saint Lucia,160188.00,180251.00,164905.00,110286.00
