Name,Style,Brewery,ABV,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty
Trappistes Rochefort 6,Dubbel,Brasserie de Rochefort,7.5,15,50,17,25,114,36,0,83,32,24,82
Prior 8,Dubbel,Brouwerij St. Bernardus NV,8,16,33,14,27,96,30,1,75,15,17,84
Abbey,Dubbel,New Belgium Brewing,7,12,47,16,25,103,37,1,86,31,24,85
Trappist Westvleteren 8 (VIII)Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Dubbel,Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),8,15,54,23,37,115,25,0,77,48,22,75
Père Jacques,Dubbel,Goose Island Beer Co.,8.7,8,44,18,22,106,20,0,67,13,15,79
Dubbel Ale,Dubbel,Allagash Brewing Company,7,17,31,6,11,80,35,1,48,17,23,66
Pater 6,Dubbel,Brouwerij St. Bernardus NV,6.7,20,46,23,15,84,30,1,62,7,22,64
Corsendonk Pater / Abbey Brown Ale,Dubbel,Brouwerij Corsendonk,7.5,23,40,15,31,107,43,0,67,22,20,102
Grimbergen Dubbel,Dubbel,Brouwerij Alken-Maes,6.5,9,42,11,20,100,31,0,52,16,10,66
La Trappe Dubbel (Koningshoeven / Dominus),Dubbel,Bierbrouwerij De Koningshoeven B.V.,7,6,52,18,17,120,30,0,70,21,27,83
Trappist Achel 8° Bruin,Dubbel,Brouwerij der St. Benedictusabdij de Achelse,8,17,36,29,20,97,44,0,70,19,24,53
Lost & Found,Dubbel,The Lost Abbey,8,11,42,30,23,120,21,0,82,18,33,85
Abbey Dubbel,Dubbel,Flying Fish Brewing Company,7.2,5,41,13,20,95,14,0,49,13,18,65
Bornem Double,Dubbel,Brouwerij Van Steenberge N.V.,8,10,44,15,19,100,25,0,56,15,22,72
Affligem Dubbel,Dubbel,Brouwerij De Smedt / Brouwerij Affligem,6.8,9,30,12,17,60,29,0,38,14,17,39
Abbey Ale,Dubbel,Abita Brewing Co.,8,4,39,12,12,82,43,0,54,16,39,78
Resurrection,Dubbel,The Brewer's Art,7,14,35,26,25,81,27,2,35,38,27,66
Brother David's Belgian-style Double Ale,Dubbel,Anderson Valley Brewing Company,9,11,58,43,33,145,50,1,90,42,40,104
Brune,Dubbel,Brasserie de l'Abbaye du Val-Dieu,8,9,48,28,26,109,38,0,47,20,16,80
St. Feuillien Brune,Dubbel,Brasserie St. Feuillien,8.5,10,57,32,22,124,41,2,73,21,18,85
Siamese Twin Ale,Dubbel,Uncommon Brewers,8.5,8,40,31,6,108,79,0,104,29,34,67
Benediction,Dubbel,Russian River Brewing Company,6.75,11,47,10,27,79,23,0,36,32,27,58
Augustijn Donker Brune,Dubbel,Brouwerij Van Steenberge N.V.,8,9,66,27,24,149,45,0,87,31,42,109
St. Sebastiaan Dark,Dubbel,Brouwerij Sterkens N.V.,6.9,13,53,24,16,108,38,1,82,28,16,82
Brugse Zot Dubbel,Dubbel,Brouwerij Straffe Hendrik / Huisbrouwerij De Halve Maan,7.5,14,39,15,28,108,42,0,58,33,21,79
Ovila Abbey Barrel Aged Dubbel,Dubbel,Sierra Nevada Brewing Co.,8.5,22,42,60,17,99,36,0,56,15,26,91
Solitude,Dubbel,Brewery Vivant,6,14,46,26,18,129,72,0,96,24,21,74
Big Bison Ale,Dubbel,Crown Valley Brewing & Distilling Co.,6.9,13,48,25,18,97,29,0,53,20,9,76
St. Vincent's Dubbel,Dubbel,Captain Lawrence Brewing Co.,8,20,65,32,13,95,66,0,67,25,30,97
Brother Joseph's Belgian Dubbel,Dubbel,Straight To Ale,8,10,29,14,17,96,25,0,63,24,21,66
Dark Abby,Dubbel,Devils Backbone Brewing Company,7.5,12,32,31,16,103,35,0,76,19,28,58
St Martin Brune,Dubbel,Brasserie De Brunehaut,8,11,50,26,20,105,41,0,64,25,24,81
Dominus Vobiscum Double,Dubbel,Microbrasserie Charlevoix,8,22,49,39,27,119,34,0,62,30,37,73
Evil 8° Belgian-Style Dubbel Ale,Dubbel,Blue Mountain Brewery,7.7,5,54,24,23,136,37,1,70,20,49,68
Sterkens Dubbel Ale,Dubbel,Brouwerij Sterkens N.V.,6.9,8,55,31,16,133,36,0,81,32,22,80
Natte,Dubbel,Brouwerij 't IJ,6.5,16,40,16,29,70,45,0,52,39,29,71
Green's Endeavour Dubbel Dark Ale,Dubbel,Green's Gluten Free Beers,7,13,42,13,13,120,55,0,76,27,16,64
Oro De Calabaza,Farmhouse Ale - Bière de Garde,Jolly Pumpkin Artisan Ales,8,25,31,12,9,55,143,0,101,20,35,15
Domaine DuPage French Style Country Ale,Farmhouse Ale - Bière de Garde,Two Brothers Brewing Company,6.2,13,34,7,29,53,17,0,18,47,12,69
Abbaye De Saint Bon-ChienBFM (Brasserie des Franches-Montagnes),Farmhouse Ale - Bière de Garde,BFM Brasserie Des Franches-Montagnes,11,30,27,27,6,60,113,0,74,5,6,19
Gift Of The Magi,Farmhouse Ale - Bière de Garde,The Lost Abbey,12,21,32,57,39,77,63,3,60,61,25,50
Avant Garde,Farmhouse Ale - Bière de Garde,The Lost Abbey,7,25,37,22,28,68,73,3,66,49,27,69
"Fuego Del Otono, Autumn Fire",Farmhouse Ale - Bière de Garde,Jolly Pumpkin Artisan Ales,6.1,19,30,4,7,45,131,0,68,11,25,27
Bière De Mars,Farmhouse Ale - Bière de Garde,Jolly Pumpkin Artisan Ales,7,39,28,12,9,75,172,0,90,15,8,31
Perdition,Farmhouse Ale - Bière de Garde,Russian River Brewing Company,6.1,23,33,16,20,56,62,0,54,43,20,58
Bière De Mars,Farmhouse Ale - Bière de Garde,Brewery Ommegang,6.5,45,37,16,27,77,156,2,102,64,33,49
Southampton Biere De Mars,Farmhouse Ale - Bière de Garde,Southampton Publick House,6.5,23,36,14,17,103,69,3,71,36,36,105
Jenlain Ambrée,Farmhouse Ale - Bière de Garde,Brasserie Duyck,7.5,16,47,18,29,121,37,0,47,34,15,100
La Goudale,Farmhouse Ale - Bière de Garde,Les Brasseurs de Gayant,7.2,10,34,31,35,62,29,0,26,50,14,71
Castelain Blond Biere De Garde,Farmhouse Ale - Bière de Garde,Brasserie Castelain,6.4,36,41,26,19,101,62,2,63,40,15,88
Le Mort Vivant,Farmhouse Ale - Bière de Garde,Southern Star Brewing Company,6.55,8,48,21,33,80,58,0,62,43,12,65
Contemplation Ale,Farmhouse Ale - Bière de Garde,Brewery Vivant,6.5,25,31,15,27,121,56,0,58,73,34,100
Les Bière Des Sans Culottes,Farmhouse Ale - Bière de Garde,Brasserie La Choulette,7,39,52,24,29,80,61,2,62,68,18,83
Jenlain Blonde,Farmhouse Ale - Bière de Garde,Brasserie Duyck,6.8,20,45,21,43,104,72,0,88,56,13,68
Saint Landelin La Divine,Farmhouse Ale - Bière de Garde,Les Brasseurs de Gayant,8.5,13,39,19,14,83,41,0,44,32,17,71
Good Harbor Golden Ale,Farmhouse Ale - Bière de Garde,Leelanau Brewing Company,7.5,30,39,13,15,80,204,1,133,23,25,19
Southampton Biere De Garde,Farmhouse Ale - Bière de Garde,Southampton Publick House,7.2,31,45,26,20,125,103,0,94,51,25,97
Rendezvous,Farmhouse Ale - Bière de Garde,"Lakefront Brewery, Inc.",7.2,18,59,30,35,93,59,0,66,53,24,74
St. Amand,Farmhouse Ale - Bière de Garde,Brasserie Castelain,5.9,24,54,18,36,96,61,1,54,53,10,80
La Choulette Ambrée,Farmhouse Ale - Bière de Garde,Brasserie La Choulette,8,20,40,37,27,120,58,2,65,34,24,100
Oxtoberfest,Farmhouse Ale - Bière de Garde,Oxbow Brewing Company,5.5,7,19,5,7,16,15,0,10,14,31,38
Ch'ti Blonde,Farmhouse Ale - Bière de Garde,Brasserie Castelain,6.4,22,38,21,36,70,57,3,54,51,9,60
La Choulette De Noël,Farmhouse Ale - Bière de Garde,Brasserie La Choulette,7,16,51,15,13,121,41,0,59,23,39,83
Jenlain Bière De Noël,Farmhouse Ale - Bière de Garde,Brasserie Duyck,6.8,14,36,12,22,86,42,0,54,34,31,64
French Country Christmas Ale (Biere De Garde),Farmhouse Ale - Bière de Garde,Southampton Publick House,6.6,25,43,22,19,92,59,0,67,35,40,82
L'Ambrée D'Esquelbecq / Thiriez Amber,Farmhouse Ale - Bière de Garde,Brasserie Thiriez,5.8,29,45,8,34,92,73,1,71,63,35,69
La Choulette Blonde,Farmhouse Ale - Bière de Garde,Brasserie La Choulette,7.5,23,43,29,16,99,94,0,76,33,27,49
Bière De Garde,Farmhouse Ale - Bière de Garde,Choc Beer Co. / Pete's Place,7,23,52,17,13,111,78,5,99,27,30,96
Jenlain Bière De Printemps,Farmhouse Ale - Bière de Garde,Brasserie Duyck,5.4,25,32,10,41,92,59,0,55,61,15,72
Sah'tea,Farmhouse Ale - Sahti,Dogfish Head Brewery,9,5,35,26,16,60,28,0,38,68,78,43
Arctic Circle Ale,Farmhouse Ale - Sahti,Malmgårdin Panimo,7.3,9,56,30,38,122,37,0,55,58,29,144
Lammin Kataja Olut,Farmhouse Ale - Sahti,Lammin Sahti Oy,7,16,46,19,11,71,59,2,44,33,23,48
Lammin Sahtia,Farmhouse Ale - Sahti,Lammin Sahti Oy,7.5,41,41,20,13,62,113,3,72,41,19,31
Finlandia Sahti,Farmhouse Ale - Sahti,Finlandia Sahti Ky,8,7,18,9,12,61,20,0,25,17,6,19
Summer Sahti,Farmhouse Ale - Sahti,Vintage Brewing Company,5.4,0,0,0,0,0,0,0,0,0,0,0
Malmgård Jouluolut,Farmhouse Ale - Sahti,Malmgårdin Panimo,4.5,0,0,0,0,0,0,0,0,0,0,0
Finlandia Strong Sahti,Farmhouse Ale - Sahti,Finlandia Sahti Ky,10,0,0,1,0,6,2,0,4,0,1,4
Puhti IV B,Farmhouse Ale - Sahti,Lammin Sahti Oy,7,0,0,0,0,0,0,0,0,0,0,0
Hennepin,Farmhouse Ale - Saison,Brewery Ommegang,7.7,25,27,23,28,39,59,1,76,43,48,37
Tank 7,Farmhouse Ale - Saison,Boulevard Brewing Co.,8.5,16,37,23,39,34,70,4,86,58,30,17
Sofie,Farmhouse Ale - Saison,Goose Island Beer Co.,6.5,24,29,18,20,31,102,0,90,32,39,29
Saison Dupont,Farmhouse Ale - Saison,Brasserie Dupont sprl,6.5,30,39,12,25,22,55,3,44,47,23,19
Saison-Brett,Farmhouse Ale - Saison,Boulevard Brewing Co.,8.5,45,44,29,43,72,144,3,108,72,47,43
Sorachi Ace,Farmhouse Ale - Saison,Brooklyn Brewery,7.2,20,31,12,33,31,83,0,83,43,26,31
Arthur,Farmhouse Ale - Saison,Hill Farmstead Brewery,6,48,35,14,29,59,172,6,123,51,27,30
Fantôme Saison,Farmhouse Ale - Saison,Brasserie Fantôme,8,28,41,14,18,66,113,1,103,27,46,32
Pepe Nero Belgian Style Ale,Farmhouse Ale - Saison,Goose Island Beer Co.,6.4,18,39,16,21,75,52,0,67,14,41,51
Colette,Farmhouse Ale - Saison,Great Divide Brewing Company,6.5,18,34,15,15,32,62,0,51,29,44,32
Anna,Farmhouse Ale - Saison,Hill Farmstead Brewery,6.4,46,30,3,19,67,110,1,76,55,17,56
Saison Du BUFF,Farmhouse Ale - Saison,Dogfish Head Brewery,6.8,26,32,12,22,15,29,0,21,146,35,26
Seizoen Bretta,Farmhouse Ale - Saison,Logsdon Farmhouse Ales,8,34,33,9,11,55,130,0,97,30,36,8
Avec Les Bons Voeux,Farmhouse Ale - Saison,Brasserie Dupont sprl,9.5,18,35,46,25,56,70,0,76,46,62,65
Opal,Farmhouse Ale - Saison,Firestone Walker Brewing Co.,7.5,23,30,14,49,41,78,2,75,82,50,45
Bam Bière,Farmhouse Ale - Saison,Jolly Pumpkin Artisan Ales,4.5,37,24,5,17,55,170,3,132,40,21,25
Interlude,Farmhouse Ale - Saison,Allagash Brewing Company,10.6,36,31,25,10,97,122,9,108,20,7,32
Le Merle,Farmhouse Ale - Saison,North Coast Brewing Co.,7.9,19,33,11,18,68,101,3,96,26,50,28
Surette Provision Saison,Farmhouse Ale - Saison,Crooked Stave Artisan Beer Project,6.2,32,23,14,10,42,174,0,93,24,8,20
Cellar Door,Farmhouse Ale - Saison,Stillwater Artisanal Ales,6.6,38,37,4,31,47,76,0,80,115,20,42
Rabbid Rabbit,Farmhouse Ale - Saison,Three Floyds Brewing Co. & Brewpub,7.4,19,64,12,27,66,79,6,92,68,71,64
Helios (V Saison),Farmhouse Ale - Saison,Victory Brewing Company,7.5,26,39,19,29,31,69,1,54,36,41,28
Red Barn Ale,Farmhouse Ale - Saison,The Lost Abbey,6.7,15,19,12,20,39,81,1,74,33,57,24
Stateside Saison,Farmhouse Ale - Saison,Stillwater Artisanal Ales,6.8,37,46,6,39,65,85,3,86,75,36,54
Bam Noire,Farmhouse Ale - Saison,Jolly Pumpkin Artisan Ales,4.3,29,42,10,9,48,139,0,67,19,17,40
St. Feuillien Saison,Farmhouse Ale - Saison,Brasserie St. Feuillien,6.5,21,38,7,25,65,75,1,88,63,40,51
Carnevale,Farmhouse Ale - Saison,The Lost Abbey,8.2,31,39,13,37,55,90,2,80,53,42,50
Love Buzz Saison,Farmhouse Ale - Saison,Anchorage Brewing Company,8,59,38,20,69,68,156,1,103,95,41,32
Foret,Farmhouse Ale - Saison,Brasserie Dupont sprl,7.5,23,40,12,25,102,81,4,84,40,41,52
Das Wunderkind!,Farmhouse Ale - Saison,Jester King Craft Brewery,4.5,43,41,18,37,37,162,3,104,58,19,41
Clara Grisette,Farmhouse Ale - Saison,Hill Farmstead Brewery,4,45,32,1,19,26,109,0,72,38,24,47
#9,Fruit and Field Beer,Magic Hat Brewing Company,5.1,22,23,1,31,73,38,0,74,50,2,28
Samuel Adams Cherry WheatBoston Beer Company (Samuel Adams),Fruit and Field Beer,Boston Beer Company (Samuel Adams),5.3,4,9,8,7,40,16,0,69,12,0,25
Raspberry Tart,Fruit and Field Beer,New Glarus Brewing Company,4,25,32,14,7,193,90,0,137,11,4,16
Summer Shandy,Fruit and Field Beer,Jacob Leinenkugel Brewing Company,4.2,8,23,9,6,22,55,0,51,5,1,28
Rübæus,Fruit and Field Beer,Founders Brewing Company,5.7,14,37,7,12,138,50,0,88,16,1,20
Wisconsin Belgian Red,Fruit and Field Beer,New Glarus Brewing Company,4,22,34,8,9,81,67,0,137,16,6,32
Purple Haze,Fruit and Field Beer,Abita Brewing Co.,4.2,11,30,3,11,90,49,1,77,19,1,59
Hell Or High Watermelon Wheat Beer,Fruit and Field Beer,21st Amendment Brewery,4.9,31,27,9,17,66,49,5,100,37,17,63
Blushing Monk,Fruit and Field Beer,Founders Brewing Company,9.2,16,29,29,8,129,61,0,109,19,10,17
Éphémère (Apple),Fruit and Field Beer,Unibroue,5.5,18,31,7,4,134,120,1,140,18,15,33
Autumn Maple,Fruit and Field Beer,The Bruery,10,6,37,31,17,101,22,1,49,17,64,63
Thumbprint Apple Ale,Fruit and Field Beer,New Glarus Brewing Company,4,32,34,13,8,196,173,1,152,19,21,61
Black & Blue,Fruit and Field Beer,Dogfish Head Brewery,10,12,28,19,6,170,76,2,147,5,19,21
Cerise,Fruit and Field Beer,Founders Brewing Company,6.5,16,28,13,1,59,53,0,87,9,2,24
Strawberry Lager,Fruit and Field Beer,Abita Brewing Co.,4.2,10,20,6,8,30,13,1,69,11,7,24
Samuel Adams Cranberry LambicBoston Beer Company (Samuel Adams),Fruit and Field Beer,Boston Beer Company (Samuel Adams),5.9,15,25,7,4,89,67,0,77,4,1,35
Shiner Ruby Redbird,Fruit and Field Beer,Spoetzl Brewery,4.01,14,19,6,21,28,80,0,79,19,27,31
Tweason'ale,Fruit and Field Beer,Dogfish Head Brewery,6,3,18,5,4,52,35,0,55,3,0,36
Fort,Fruit and Field Beer,Dogfish Head Brewery,18,10,27,74,9,139,41,0,89,7,5,21
Soft Parade,Fruit and Field Beer,Short's Brewing Company,7.5,18,60,11,5,168,68,0,154,14,6,53
Blue,Fruit and Field Beer,SweetWater Brewing Company,4.9,14,10,2,9,84,21,0,64,11,0,43
Pyramid Apricot Ale,Fruit and Field Beer,"Pyramid Breweries, Inc.",5.1,12,29,8,9,96,50,0,100,16,3,47
Stiegl Radler (Grapefruit),Fruit and Field Beer,Stieglbrauerei zu Salzburg GmbH,2.25,23,18,9,16,55,87,0,96,10,3,14
Tangerine Wheat,Fruit and Field Beer,Lost Coast Brewery and Cafe,5.5,11,27,11,13,30,61,0,105,14,0,33
Cucumber Saison,Fruit and Field Beer,Cigar City Brewing,5,43,14,8,17,21,41,3,36,21,11,13
Pumpkinfest,Fruit and Field Beer,Terrapin Beer Company,6.1,10,24,6,5,22,13,1,71,7,82,35
Apricot Wheat,Fruit and Field Beer,Ithaca Beer Company,4.9,13,20,11,7,99,31,0,88,13,2,56
UFO Raspberry Hefeweizen,Fruit and Field Beer,Harpoon Brewery,4.8,19,28,10,3,122,54,1,119,10,2,33
Son Of A Peach,Fruit and Field Beer,RJ Rockers Brewing Company,6,15,20,6,8,28,26,0,92,10,3,32
Bumble Berry Honey Blueberry Ale,Fruit and Field Beer,Fat Heads Brewery & Saloon,5.3,22,19,7,12,143,22,6,81,19,6,77
Blackbeary Wheat,Fruit and Field Beer,Long Trail Brewing Co.,4,13,13,7,7,73,28,0,61,9,3,44
Raspberry Ale,Fruit and Field Beer,Dark Horse Brewing Company,5.5,12,26,11,21,121,50,0,86,22,0,52
Blueberry Ale,Fruit and Field Beer,Blue Point Brewing Company,4.6,8,17,4,7,79,17,0,67,10,1,24
Pumpkin Lager,Fruit and Field Beer,"Lakefront Brewery, Inc.",6,12,36,8,7,38,19,0,90,20,93,53
Delirium Red,Fruit and Field Beer,Brouwerij Huyghe,8,8,27,17,7,108,51,1,115,28,5,28
Orange Blossom Cream Ale,Fruit and Field Beer,Buffalo Bill's Brewery,5.2,12,27,8,28,46,86,0,86,35,5,30
Pugsley's Signature Series: Smashed Blueberry,Fruit and Field Beer,Shipyard Brewing Co.,9,13,87,26,43,171,16,0,102,26,5,109
Fraoch Heather Ale,Gruit / Ancient Herbed Ale,Williams Brothers Brewing Company,5,23,27,9,18,58,20,0,16,98,30,55
Alba Scots Pine Ale,Gruit / Ancient Herbed Ale,Williams Brothers Brewing Company,7.5,13,46,30,26,77,33,0,44,110,12,51
Ebulum Elderberry Black Ale,Gruit / Ancient Herbed Ale,Williams Brothers Brewing Company,6.5,22,63,17,42,95,47,0,92,73,17,96
Grozet,Gruit / Ancient Herbed Ale,Williams Brothers Brewing Company,5,35,32,14,32,93,67,2,79,67,10,58
Kelpie Seaweed Ale,Gruit / Ancient Herbed Ale,Williams Brothers Brewing Company,4.4,15,79,7,27,57,10,24,14,28,7,105
13th Century Grut Bier,Gruit / Ancient Herbed Ale,Professor Fritz Briem,4.6,30,28,18,32,22,55,0,46,133,79,16
Posca Rustica,Gruit / Ancient Herbed Ale,Brasserie Dupont sprl,8,21,57,30,42,71,75,1,81,131,66,36
Koyt,Gruit / Ancient Herbed Ale,Jopen Bier BV Haarlem,8.5,7,52,18,22,80,23,0,37,86,44,88
Bog Water,Gruit / Ancient Herbed Ale,Beau's All Natural Brewing Company,6.6,15,37,22,36,106,53,0,69,98,51,67
Working For Tips,Gruit / Ancient Herbed Ale,Moonlight Brewing Company,5.5,15,61,8,50,45,10,0,13,85,25,76
Weekapaug Gruit,Gruit / Ancient Herbed Ale,Magnolia Pub & Brewery,5.8,4,23,9,12,24,16,0,24,74,35,20
Blessed Thistle,Gruit / Ancient Herbed Ale,"Cairngorm Brewery Company, The",4.5,9,23,2,33,36,9,0,10,58,18,41
Heather Ale,Gruit / Ancient Herbed Ale,Kuhnhenn Brewing Company,4.75,6,14,1,7,12,13,0,7,24,1,16
Artemis,Gruit / Ancient Herbed Ale,Moonlight Brewing Company,5.5,1,7,3,6,4,3,0,0,16,9,4
Two Weeks Notice,Gruit / Ancient Herbed Ale,Moonlight Brewing Company,5.3,3,7,3,7,1,8,2,10,35,5,9
La Clef Des Champs,Gruit / Ancient Herbed Ale,Brasserie Dieu Du Ciel,5,1,4,1,2,3,1,0,1,17,1,11
Gothic Ale,Gruit / Ancient Herbed Ale,Triumph Brewing Company,4.8,4,14,4,7,13,8,0,5,28,12,11
Andromeda Heather Ale,Gruit / Ancient Herbed Ale,Dragonmead Microbrewery,4.6,9,9,2,3,15,4,0,7,8,2,21
Reggae Junkie,Gruit / Ancient Herbed Ale,Upright Brewing Company,5.2,6,8,1,1,4,15,0,5,8,4,3
Kirin Tanrei,Happoshu,"Kirin Brewery Company, Limited",5.5,24,44,10,18,38,16,2,14,23,0,85
Kinmugi (Rich Malt),Happoshu,Suntory,5,12,16,3,15,15,12,0,9,21,5,29
Clear Sakura Beer,Happoshu,Asahi Breweries Ltd,5,4,13,3,6,12,5,0,5,10,0,26
Asahi Honnama Red,Happoshu,Asahi Breweries Ltd,5.5,13,16,5,11,16,1,0,0,11,0,38
Kirin Tanrei Green Label,Happoshu,"Kirin Brewery Company, Limited",4.5,2,9,3,4,7,6,0,5,7,1,22
Asahi Honnama Aqua Blue,Happoshu,Asahi Breweries Ltd,5,7,7,2,2,2,6,0,3,4,2,11
Orion Mugi Shokunin,Happoshu,"Orion Beer Co., Ltd.",5.5,3,7,1,9,8,1,0,1,10,0,10
Sapporo Draft One,Happoshu,Sapporo Breweries Ltd.,5,4,10,7,6,17,13,0,9,9,1,15
Kinshachi Nagoya Red Miso Lager,Happoshu,Land Beer,6,3,17,7,8,25,5,1,5,9,1,35
Orion Southern Star,Happoshu,"Orion Beer Co., Ltd.",5.5,0,4,2,3,3,3,0,4,4,1,3
Kirin Enjuku,Happoshu,"Kirin Brewery Company, Limited",6,8,14,1,8,9,4,0,2,12,0,18
Helios Goya Dry,Happoshu,"Helios Distillery Co., Ltd.",5,6,7,3,13,8,6,0,6,14,5,7
Asahi Honnama Gold,Happoshu,Asahi Breweries Ltd,5.5,0,2,1,4,3,0,0,1,4,0,4
Kirin Nodogoshi,Happoshu,"Kirin Brewery Company, Limited",5,0,2,1,1,3,0,0,0,2,0,5
Kirin Shirokirin,Happoshu,"Kirin Brewery Company, Limited",5.5,1,3,0,1,0,0,0,0,1,0,2
Jokki (Jug Nama),Happoshu,Suntory,5,3,6,2,2,10,3,1,1,2,0,4
Asahi Shinnama,Happoshu,Asahi Breweries Ltd,5,3,4,2,4,1,1,0,1,4,0,6
Kirin Enjuku Kuro,Happoshu,"Kirin Brewery Company, Limited",6,2,7,1,2,9,0,0,0,2,0,21
Honkaku Karakuchi Mugi,Happoshu,"Kirin Brewery Company, Limited",5,11,9,2,5,3,2,0,2,4,0,8
Sapporo Mugi To Hopppu (trans. Barley And Hop),Happoshu,Sapporo Breweries Ltd.,5,0,0,0,0,0,0,0,0,0,0,0
Asahi Strong Off,Happoshu,Asahi Breweries Ltd,7,0,0,0,0,0,0,0,0,0,0,0
Orion Nangoku Monogatari,Happoshu,"Orion Beer Co., Ltd.",5.5,0,0,0,0,0,0,0,0,0,0,0
Akiraku,Happoshu,Suntory,6,0,0,0,0,0,0,0,0,0,0,0
Midas Touch,Herb and Spice Beer,Dogfish Head Brewery,9,18,33,11,15,128,42,1,77,31,13,62
Chateau Jiahu,Herb and Spice Beer,Dogfish Head Brewery,10,16,24,33,12,145,68,0,96,23,8,64
Good Juju,Herb and Spice Beer,Left Hand Brewing Company,4.5,6,18,4,16,23,15,2,15,19,81,43
Juniper Pale Ale,Herb and Spice Beer,Rogue Ales,5.3,10,30,11,53,44,37,4,58,80,13,55
Agave Wheat,Herb and Spice Beer,Breckenridge Brewery,4.2,37,23,27,4,33,29,2,25,16,5,56
Rosée D'Hibiscus,Herb and Spice Beer,Brasserie Dieu Du Ciel,5.9,19,39,8,7,61,57,0,46,114,23,44
Ta Henket,Herb and Spice Beer,Dogfish Head Brewery,4.5,7,25,15,10,80,56,2,46,55,26,60
Poor Richard's Tavern Spruce Ale,Herb and Spice Beer,Yards Brewing Co.,5,7,24,11,24,37,3,1,16,86,12,62
Hitachino Nest Real Ginger Ale,Herb and Spice Beer,Kiuchi Brewery,8,14,23,25,22,56,11,1,15,28,105,61
Jaw-Jacker,Herb and Spice Beer,Arcadia Brewing Company,6.5,8,42,8,11,22,25,0,85,16,123,53
Mandarin Nectar,Herb and Spice Beer,Alpine Beer Company,6.5,14,38,6,38,100,97,0,112,77,17,80
El Mole Ocho,Herb and Spice Beer,New Holland Brewing Company,10,11,106,43,56,132,34,0,47,29,100,128
Applehead,Herb and Spice Beer,Shipyard Brewing Co.,4.5,26,22,6,4,114,105,0,109,7,52,47
Baladin Nora,Herb and Spice Beer,Birrificio Le Baladin,6.8,18,32,21,26,54,57,0,63,48,60,56
Bison Organic Gingerbread Ale,Herb and Spice Beer,Bison Brewing,6,8,31,6,19,13,9,0,12,12,68,68
Mexican Chocolate Stout,Herb and Spice Beer,Copper Kettle Brewing Company,7,5,103,25,24,66,8,0,7,10,152,77
Bison Organic Honey Basil,Herb and Spice Beer,Bison Brewing,6,21,28,4,17,67,17,0,20,109,18,59
Rude Elf's Reserve,Herb and Spice Beer,Allentown Brew Works,10.5,7,44,46,8,65,27,0,49,12,157,30
Underlig Jul,Herb and Spice Beer,Nøgne Ø - Det Kompromissløse Bryggeri A/S,6.5,14,51,24,44,60,21,0,32,81,178,92
Lemon Tea Ale,Herb and Spice Beer,Mill Street Brew Pub,5,15,38,13,19,31,98,0,92,100,8,68
Ginger Beard,Herb and Spice Beer,Wychwood Brewery Company Ltd,4.2,12,44,27,19,72,23,3,25,34,126,43
Red/White Christmas,Herb and Spice Beer,Mikkeller ApS,8,10,31,27,57,55,91,1,85,100,42,60
La MeuleBFM (Brasserie des Franches-Montagnes),Herb and Spice Beer,BFM Brasserie Des Franches-Montagnes,6,21,38,5,19,39,92,0,62,82,46,27
Nor'Easter Lager,Herb and Spice Beer,Thomas Hooker Brewing Company,6,10,40,17,18,76,44,0,47,27,63,84
Sculpin,IPA - American,Ballast Point Brewing Company,7,20,34,12,69,43,53,0,72,92,4,28
60 Minute IPA,IPA - American,Dogfish Head Brewery,6,17,26,6,56,14,40,0,44,75,3,24
Torpedo Extra IPA,IPA - American,Sierra Nevada Brewing Co.,7.2,10,44,11,57,31,37,0,43,107,6,38
Celebration Fresh Hop IPA,IPA - American,Sierra Nevada Brewing Co.,6.8,19,38,15,66,28,24,0,25,92,5,47
A Little Sumpin' Sumpin' Ale,IPA - American,Lagunitas Brewing Company,7.5,15,32,14,58,23,56,1,69,100,2,65
Jai Alai IPA,IPA - American,Cigar City Brewing,7.5,21,34,8,44,35,58,0,73,51,10,33
Centennial IPA,IPA - American,Founders Brewing Company,7.2,12,28,14,64,30,37,0,47,85,4,44
All Day IPA,IPA - American,Founders Brewing Company,4.7,16,16,2,38,16,24,1,30,54,1,25
HopDevil,IPA - American,Victory Brewing Company,6.7,13,27,5,61,42,26,0,30,89,10,69
Blind Pig,IPA - American,Russian River Brewing Company,6.25,45,37,7,80,38,69,4,94,140,1,33
Furious,IPA - American,Surly Brewing Company,6.7,11,24,5,57,45,48,0,54,96,3,61
Lunch,IPA - American,Maine Beer Company,7,26,54,15,64,56,79,0,97,102,5,49
Fresh Squeezed IPA,IPA - American,Deschutes Brewery,6.4,16,41,4,62,46,54,1,67,85,3,41
Flower Power India Pale Ale,IPA - American,Ithaca Beer Company,7.2,17,26,14,44,38,38,1,61,75,0,35
"Smuttynose IPA ""Finest Kind""",IPA - American,Smuttynose Brewing Company,6.9,21,27,14,70,39,55,0,67,93,6,38
ApriHop,IPA - American,Dogfish Head Brewery,7,20,21,16,70,106,62,1,107,80,6,45
Harvest Ale,IPA - American,Founders Brewing Company,7.6,18,38,9,75,32,44,0,60,117,3,31
Duet,IPA - American,Alpine Beer Company,7,31,21,7,60,31,56,1,77,91,6,27
