Name,Style,Brewery,ABV,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty
Griffin's BowBoston Beer Company (Samuel Adams),Barleywine - American,Boston Beer Company (Samuel Adams),11.5,5,65,41,60,146,78,0,117,71,25,104
Sisyphus,Barleywine - American,Real Ale Brewing Company,11.5,11,68,37,80,109,67,0,83,96,5,87
Gratitude,Barleywine - American,East End Brewing Company,11.5,10,69,31,66,124,43,1,60,77,10,108
Barleywine Ale,Barleywine - American,The Duck-Rabbit Craft Brewery,11,14,57,43,86,86,36,1,61,96,16,95
The Vermonster,Barleywine - American,Rock Art Brewery,10,34,41,29,86,50,28,0,34,114,9,83
Smuttynose Barleywine Style Ale (Big Beer Series),Barleywine - American,Smuttynose Brewing Company,11.6,11,75,43,89,89,46,0,54,106,17,97
John Barleycorn Barleywine Ale,Barleywine - American,Mad River Brewing Company,11.4,12,71,61,57,98,48,1,59,59,14,89
Barrel Aged Behemoth,Barleywine - American,Three Floyds Brewing Co. & Brewpub,12.5,13,58,66,38,86,36,0,61,42,35,92
Old Ruffian - Barrel-Aged,Barleywine - American,Great Divide Brewing Company,12.7,18,67,94,43,134,34,0,57,53,32,132
# 100,Barleywine - American,Nøgne Ø - Det Kompromissløse Bryggeri A/S,10,18,70,43,85,92,26,1,53,95,15,113
Old Numbskull - Bourbon Barrel-Aged,Barleywine - American,AleSmith Brewing Company,11,9,57,67,26,113,20,0,36,23,25,132
Devil's Milk,Barleywine - American,DuClaw Brewing Company,10,15,73,45,78,125,80,2,122,117,9,103
Big Worse,Barleywine - American,Mikkeller ApS,12,14,50,58,67,137,71,0,110,79,12,114
Chicken Killer Barley Wine,Barleywine - American,Santa Fe Brewing Company,10,13,41,40,61,85,38,0,47,61,4,104
Olde Bluehair Barley Wine,Barleywine - American,Big Sky Brewing Company,12,10,53,63,53,71,22,1,32,56,23,114
Old Blarney Barleywine,Barleywine - American,Moylan's Brewery,10,14,66,38,61,107,39,0,64,69,6,119
Druid Fluid,Barleywine - American,"Middle Ages Brewing Co., Ltd.",9.5,25,55,39,90,116,56,3,88,105,4,102
Holidale,Barleywine - American,Berkshire Brewing Company Inc.,9.5,15,72,50,79,103,42,0,53,69,27,107
Old Howling Bastard,Barleywine - American,Blue Point Brewing Company,10,9,59,37,45,100,34,0,44,60,11,115
Old Backus Barleywine,Barleywine - American,Free State Brewing Co.,10.5,7,62,45,56,127,39,1,49,62,4,108
§ucaba,Barleywine - English,Firestone Walker Brewing Co.,12.5,5,51,74,24,105,23,0,50,19,18,112
Insanity,Barleywine - English,Weyerbacher Brewing Co.,13.3,7,56,55,19,103,27,0,68,19,27,88
Blithering Idiot,Barleywine - English,Weyerbacher Brewing Co.,11.1,2,44,47,29,138,26,0,62,31,15,97
Mother Of All Storms,Barleywine - English,Pelican Pub & Brewery,14,10,66,86,37,156,34,1,77,12,27,168
Old Foghorn,Barleywine - English,Anchor Brewing Company,10,10,62,37,56,116,36,0,82,64,15,110
Double Double Barrel Ale,Barleywine - English,Firestone Walker Brewing Co.,12,10,45,49,16,67,13,0,35,9,32,101
Mirror Mirror,Barleywine - English,Deschutes Brewery,11,18,56,19,32,119,28,0,77,29,18,104
Arctic Devil Barley Wine,Barleywine - English,Midnight Sun Brewing Co.,13.2,10,72,69,28,123,23,0,49,23,24,141
Horn Dog,Barleywine - English,Flying Dog Brewery,10.2,8,43,50,22,100,25,0,63,21,9,65
Bourbon Barrel-Aged Barley Wine,Barleywine - English,Kuhnhenn Brewing Company,14.5,7,47,94,24,99,14,1,44,8,25,123
J.W. Lees Harvest Ale (Lagavulin Whisky Cask)J.W. Lees & Co (Brewers) Ltd,Barleywine - English,J.W. Lees & Co (Brewers) Ltd,11.5,9,54,59,11,126,22,1,64,6,54,74
Bligh's Barleywine Ale,Barleywine - English,Dry Dock Brewing Co.,10,4,62,64,13,123,31,0,46,7,18,96
